# time dst_kyoto dst_l1 dst_stb dst_pers
0.00000 -8.00000 -3.07227 1.00000 -0.77697
1.00000 -8.00000 -3.07227 1.00000 1.00000
2.00000 -4.00000 1.00000 1.00000 1.00000
3.00000 1.00000 1.00000 0.78845 -1.73948
4.00000 -3.00000 0.13140 -7.72014 -1.73948
5.00000 -3.00000 -0.61868 -9.90099 -1.73374
6.00000 -25.00000 -22.35886 -49.57126 -1.63740
7.00000 -41.00000 -41.95237 -67.98784 -5.15342
8.00000 -41.00000 -41.95237 -67.98784 -9.96281
9.00000 -38.00000 -27.85846 -26.23509 -9.96281
10.00000 -25.00000 -30.75052 -38.06655 -5.47974
11.00000 -25.00000 -30.75052 -38.06655 -4.48856
12.00000 -28.00000 -22.12048 -26.78991 -8.92506
13.00000 -28.00000 -20.57432 -31.02615 -11.00315
14.00000 -24.00000 -17.29588 -31.02615 -13.95101
15.00000 -18.00000 -15.77156 -27.14721 -13.99145
16.00000 -18.00000 -14.72786 -19.78148 -13.99145
17.00000 -23.00000 -15.86027 -21.96249 -10.10987
18.00000 -23.00000 -15.86027 -21.96249 -3.22376
19.00000 -4.00000 -5.11753 -9.22620 -3.22376
20.00000 -63.00000 -43.45533 -57.75915 -9.75609
21.00000 -63.00000 -43.45533 -57.75915 -9.96721
22.00000 -47.00000 -43.80019 -57.35615 -21.30584
23.00000 -47.00000 -43.80019 -41.16616 -28.38710
24.00000 -35.00000 -40.52332 -35.17528 -28.38710
25.00000 -30.00000 -38.92661 -35.17528 -27.93591
26.00000 -33.00000 -31.21823 -32.09049 -27.93591
27.00000 -33.00000 -26.36395 -32.09049 -27.64853
28.00000 -25.00000 -26.20336 -25.18482 -21.84698
29.00000 -21.00000 -22.95016 -20.38103 -13.03319
30.00000 -19.00000 -18.80447 -15.20148 -19.46855
31.00000 -18.00000 -17.87154 -15.13439 -19.46855
32.00000 -18.00000 -17.49091 -15.46174 -18.66420
33.00000 -17.00000 -17.49091 -15.46174 -24.16258
34.00000 -15.00000 -12.48273 -11.59050 -24.16258
35.00000 -6.00000 -7.41948 -7.62646 -12.34743
36.00000 -6.00000 -1.97988 -2.76390 -12.32900
37.00000 -11.00000 -10.84265 -16.60732 -14.78080
38.00000 -11.00000 -10.84265 -16.60732 -14.78080
39.00000 -4.00000 -8.45432 -13.38180 -13.35085
40.00000 -11.00000 -10.10268 -14.52579 -8.30115
41.00000 -11.00000 -10.10268 -14.52579 -7.76559
42.00000 -4.00000 -7.55939 -13.68189 -4.03148
43.00000 -25.00000 -23.28194 -11.66212 -3.90151
44.00000 -25.00000 -23.28194 -11.66212 -4.47251
45.00000 -19.00000 -15.06775 -11.05275 -6.07086
46.00000 -10.00000 -7.88648 -8.56615 -6.07086
47.00000 -8.00000 -2.11721 -5.60364 -5.12706
48.00000 -21.00000 -14.99913 -9.10205 -1.04233
49.00000 -21.00000 -15.01771 -9.10205 -0.54860
50.00000 -17.00000 -15.01771 -7.99982 0.80874
51.00000 -10.00000 -7.51580 -3.37879 0.80874
52.00000 -5.00000 -1.11835 -1.85681 1.00000
53.00000 -33.00000 -32.23193 -17.35687 1.00000
54.00000 -33.00000 -32.23193 -17.35687 1.00000
55.00000 -26.00000 -23.23856 -16.11904 1.00000
56.00000 -23.00000 -14.81397 -8.72110 1.00000
57.00000 -23.00000 -15.35528 -8.87890 -16.10736
58.00000 -16.00000 -15.35528 -8.87890 -22.31644
59.00000 -10.00000 -8.25856 -4.62888 -34.30136
60.00000 -3.00000 -2.04702 0.27862 -34.30136
61.00000 -6.00000 -16.52594 -20.89509 -17.93952
62.00000 -27.00000 -28.45077 -20.89509 -24.13283
63.00000 -28.00000 -28.45077 -19.35330 -24.13283
64.00000 -28.00000 -23.80849 -16.83140 -12.79607
65.00000 -18.00000 -13.05127 -12.88486 -12.54297
66.00000 -11.00000 -4.87162 -1.62111 -12.54297
67.00000 -11.00000 -6.89520 -9.23597 -11.88174
68.00000 -15.00000 -16.72748 -14.12370 -12.03756
