# time dst_kyoto dst_l1 dst_stb dst_pers v_l1 v_stb v_pers
732754.91667 -3.00000 -1.55250 3.30133 -0.77697 352.00000 329.73415 342.36000
732754.95833 -3.00000 -1.20941 4.68276 0.22454 349.00000 326.34684 343.68000
732755.00000 -4.00000 -2.26698 5.67041 1.91595 348.00000 317.44455 346.96000
732755.04167 -4.00000 -2.05976 8.17529 2.02782 348.00000 324.45323 342.88000
732755.08333 -3.00000 -1.58590 9.40525 2.77857 341.00000 330.93078 338.96000
732755.12500 -2.00000 -0.74893 10.72389 2.77010 347.00000 321.29792 337.48000
732755.16667 -2.00000 -1.18031 12.40637 2.96738 348.00000 327.93076 339.08000
732755.20833 -3.00000 -0.70928 12.87436 3.82242 340.00000 314.71044 337.36000
732755.25000 -3.00000 -0.45724 15.92601 4.30385 338.00000 323.17894 333.48000
732755.29167 -2.00000 0.12676 13.64744 3.50533 337.00000 324.26124 333.00000
732755.33333 -2.00000 1.32459 14.82827 3.00090 330.00000 318.41546 330.40000
732755.37500 -3.00000 1.88897 16.04832 3.40567 330.00000 325.96077 326.44000
732755.41667 -4.00000 2.07452 14.79420 2.72194 333.00000 324.23870 324.48000
732755.45833 -4.00000 1.99346 13.76565 2.43098 332.00000 323.27678 329.20000
732755.50000 -6.00000 0.66069 11.46615 3.10243 330.00000 329.32757 334.52000
732755.54167 -8.00000 -0.96691 8.02878 3.26306 328.00000 317.98094 336.56000
732755.58333 -8.00000 -2.58822 9.79344 3.36058 329.00000 319.69871 333.84000
732755.62500 -7.00000 -3.07227 6.15836 2.71102 326.00000 315.06028 333.12000
732755.66667 -6.00000 -2.45033 4.80768 2.55375 330.00000 315.73979 333.40000
732755.70833 -6.00000 -2.55827 5.49234 3.14444 324.00000 314.25783 331.00000
732755.75000 -4.00000 -2.99703 9.03644 3.14536 321.00000 318.93548 328.92000
732755.79167 -3.00000 -1.80588 7.72723 2.78237 323.00000 311.60648 326.48000
732755.83333 -1.00000 -0.27249 8.35375 2.67891 326.00000 307.30627 325.48000
732755.87500 -2.00000 -0.68242 12.05783 2.48794 317.00000 302.26456 323.96000
732755.91667 -1.00000 1.86974 8.73818 2.48134 312.00000 299.11283 321.44000
732755.95833 -4.00000 2.32551 8.66358 2.81700 308.00000 303.16818 319.48000
732756.00000 -4.00000 3.07948 10.17918 3.21482 310.00000 307.98701 319.52000
732756.04167 -4.00000 4.51577 10.52974 3.51532 316.00000 303.29667 320.00000
732756.08333 -2.00000 5.51913 10.55001 4.28928 311.00000 301.00000 319.48000
732756.12500 -2.00000 4.95650 10.46164 4.04783 310.00000 300.03205 316.92000
732756.16667 0.00000 4.75968 10.62710 4.64175 308.00000 296.50883 314.48000
732756.20833 1.00000 4.75838 10.72193 4.90173 301.00000 293.61857 307.76000
732756.25000 2.00000 6.26335 11.27407 5.48022 300.00000 290.00536 304.08000
732756.29167 4.00000 6.06035 9.91514 6.27159 293.00000 288.14303 306.52000
732756.33333 3.00000 4.92896 11.09599 7.92024 295.00000 291.79742 311.16000
732756.37500 3.00000 5.35617 12.60177 9.34977 295.00000 294.09045 315.52000
732756.41667 2.00000 7.80131 13.07918 8.35628 298.00000 292.09416 312.88000
732756.45833 3.00000 8.75961 12.37169 7.34920 298.00000 289.00265 307.40000
732756.50000 1.00000 7.83813 12.38457 7.54015 297.00000 289.15040 307.08000
732756.54167 3.00000 7.58108 13.70355 7.77010 288.00000 288.92852 309.00000
732756.58333 3.00000 8.70210 13.25161 7.89816 287.00000 288.17328 309.00000
732756.62500 3.00000 8.74362 13.45115 8.00616 290.00000 287.90559 308.48000
732756.66667 3.00000 9.61496 14.52916 8.64798 286.00000 287.00000 308.00000
732756.70833 3.00000 8.71911 12.93209 9.48191 283.00000 285.86866 309.56000
732756.75000 3.00000 8.71449 11.78392 10.23710 283.00000 283.79586 312.56000
732756.79167 5.00000 8.44957 12.79907 9.94778 282.00000 283.61684 312.96000
732756.83333 7.00000 8.50684 13.93197 8.98325 281.00000 285.75675 311.48000
732756.87500 8.00000 8.58739 11.54479 7.32774 280.00000 284.02010 309.44000
732756.91667 7.00000 7.88951 9.92706 6.08860 282.00000 283.94051 306.44000
732756.95833 7.00000 7.64989 11.17677 5.02095 280.00000 286.13403 302.92000
732757.00000 6.00000 7.88515 11.02201 3.75950 282.00000 286.41838 300.48000
732757.04167 3.00000 8.43131 11.31832 3.77277 282.00000 286.57623 301.04000
732757.08333 1.00000 8.17451 10.91067 3.54966 280.00000 285.84896 301.48000
732757.12500 3.00000 7.85797 9.74629 1.70170 281.00000 284.39614 299.96000
732757.16667 5.00000 7.67440 8.62048 -0.53838 278.00000 283.96293 297.44000
732757.20833 5.00000 7.89301 8.80944 -1.73948 276.00000 284.01538 294.44000
732757.25000 3.00000 7.01760 8.57981 -1.50336 278.00000 283.41310 292.48000
732757.29167 2.00000 6.13924 5.72102 -1.27798 277.00000 279.57786 291.48000
732757.33333 1.00000 6.09303 2.07161 -0.88102 276.00000 280.11963 292.04000
732757.37500 1.00000 4.06681 0.78845 -0.77712 275.00000 277.29713 291.44000
732757.41667 2.00000 4.26292 0.35813 -1.36130 273.00000 276.90273 290.00000
732757.45833 2.00000 4.00735 0.04286 -1.73374 271.00000 274.54569 288.96000
732757.50000 -1.00000 3.21115 -0.31079 -0.84114 266.00000 273.09365 285.92000
732757.54167 -3.00000 3.61507 -0.07904 2.00804 262.00000 275.98302 288.68000
732757.58333 -3.00000 4.45429 -5.11228 4.35257 265.00000 276.31826 292.48000
732757.62500 -2.00000 3.93193 -7.72014 4.86358 265.00000 275.18551 289.92000
732757.66667 -3.00000 2.12318 -6.34884 4.54650 269.00000 271.67267 284.88000
732757.70833 -3.00000 0.76869 -5.57748 4.23164 265.00000 275.07703 282.52000
732757.75000 -1.00000 0.48466 -6.47039 3.84452 263.00000 275.21449 283.52000
732757.79167 2.00000 1.66364 -7.27143 3.17111 267.00000 274.17982 282.96000
732757.83333 3.00000 1.35286 -6.27711 2.31163 265.00000 274.04782 282.00000
732757.87500 3.00000 0.13140 -4.49073 1.96044 262.00000 277.67448 282.52000
732757.91667 3.00000 -0.61868 -5.02309 2.42249 263.00000 277.54007 280.92000
732757.95833 4.00000 0.56921 -5.57381 3.22616 262.00000 281.16211 281.60000
732758.00000 3.00000 1.34052 -8.16145 4.13214 262.00000 280.12369 285.56000
732758.04167 1.00000 0.83786 -9.84072 3.34964 260.00000 278.92570 285.44000
732758.08333 -2.00000 1.31589 -9.90099 2.95195 260.00000 277.52281 282.96000
732758.12500 -1.00000 3.51375 -5.52565 2.19829 265.00000 281.55387 281.48000
732758.16667 -1.00000 2.53359 -0.85889 1.01069 268.00000 291.21857 281.52000
732758.20833 -3.00000 2.80128 1.72282 -0.56507 273.00000 295.79215 278.88000
732758.25000 3.00000 5.78424 0.88544 -1.12852 285.00000 299.80784 278.08000
732758.29167 5.00000 8.36003 6.09129 -1.39788 299.00000 313.60178 276.88000
732758.33333 2.00000 6.91396 3.90648 -1.63740 309.00000 298.72592 274.00000
732758.37500 5.00000 6.62897 0.32354 -0.31238 312.00000 303.88595 274.00000
732758.41667 3.00000 3.08329 -10.23959 1.13846 312.00000 299.94843 276.60000
732758.45833 -1.00000 -0.85257 -19.63249 1.79392 314.00000 301.24119 276.92000
732758.50000 -1.00000 -2.10200 -33.19036 1.08470 308.00000 305.04624 270.84000
732758.54167 -10.00000 -10.38725 -43.18563 1.60048 312.00000 320.24205 278.44000
732758.58333 -21.00000 -18.80332 -49.57126 3.13708 322.00000 309.41536 287.44000
732758.62500 -25.00000 -22.35886 -42.94221 3.95175 326.00000 318.99624 281.84000
732758.66667 -22.00000 -20.01461 -41.14793 3.37853 320.00000 315.06675 278.00000
732758.70833 -19.00000 -17.63789 -41.86316 2.63503 328.00000 319.42584 275.40000
732758.75000 -17.00000 -15.23535 -37.08843 3.35172 333.00000 324.87275 272.48000
732758.79167 -12.00000 -10.35107 -29.70453 3.75309 336.00000 332.36828 271.48000
732758.83333 -10.00000 -10.71277 -31.01342 3.66824 341.00000 333.31446 272.04000
732758.87500 -14.00000 -14.44373 -35.86668 3.87641 350.00000 341.31549 274.56000
732758.91667 -18.00000 -18.42570 -40.87677 4.53893 350.00000 342.08131 280.68000
732758.95833 -18.00000 -21.80060 -39.71538 4.99435 351.00000 349.95513 285.52000
732759.00000 -17.00000 -20.76076 -40.97011 7.12886 359.00000 350.30220 289.64000
732759.04167 -23.00000 -25.29032 -38.97534 9.04195 364.00000 345.33472 291.96000
732759.08333 -29.00000 -25.59869 -35.10010 7.78526 363.00000 354.85381 289.44000
732759.12500 -32.00000 -27.87038 -39.28914 5.42811 366.00000 361.33073 286.96000
732759.16667 -35.00000 -32.31489 -52.86178 4.27427 368.00000 357.97829 286.52000
732759.20833 -41.00000 -41.95237 -67.98784 5.13349 366.00000 354.85052 288.56000
732760.25000 -14.00000 -10.59238 -22.20554 3.01954 382.00000 362.64374 320.24000
732760.29167 -12.00000 -9.23096 -17.06378 -1.53366 390.00000 378.58146 329.12000
732760.33333 -13.00000 -11.97611 -17.67934 -5.15342 426.00000 391.24656 331.48000
732760.37500 -22.00000 -15.30678 -20.66257 -0.01361 448.00000 422.89614 337.76000
732760.41667 -30.00000 -21.07699 -21.79742 5.21224 453.00000 416.15410 340.36000
732760.45833 -29.00000 -20.86977 -19.15919 2.89760 462.00000 416.06230 343.24000
732760.50000 -28.00000 -22.02521 -18.17646 -4.52288 454.00000 438.49264 357.32000
732760.54167 -35.00000 -26.00834 -24.84929 -5.69882 457.00000 444.01210 369.68000
732760.58333 -38.00000 -27.85846 -26.18685 -9.27796 452.00000 442.64382 386.48000
732760.62500 -34.00000 -25.74633 -26.23509 -9.96281 449.00000 439.46977 399.04000
732760.66667 -30.00000 -23.00276 -25.83455 -5.07512 462.00000 432.65826 407.28000
732760.70833 -27.00000 -20.59487 -22.60405 -3.42438 455.00000 433.34119 423.36000
732760.75000 -25.00000 -20.03723 -22.34079 -4.40621 446.00000 435.66386 426.28000
732760.79167 -22.00000 -17.60614 -19.91589 -5.29946 422.00000 418.63903 419.96000
732760.83333 -20.00000 -18.36301 -22.80023 -5.49132 423.00000 412.65137 425.24000
732760.87500 -24.00000 -17.22122 -24.17064 -6.18014 419.00000 409.68903 430.48000
732760.91667 -24.00000 -17.43755 -22.83816 -5.47974 410.00000 405.45125 421.16000
732760.95833 -19.00000 -16.50081 -20.82927 -3.94147 412.00000 414.23836 407.28000
732761.00000 -10.00000 -13.95904 -18.19076 -3.46378 436.00000 420.35528 399.92000
732761.04167 -9.00000 -12.43517 -15.65337 -3.08234 443.00000 428.99071 390.20000
732761.08333 -10.00000 -12.05082 -13.07629 -1.09244 444.00000 436.34069 379.36000
732761.12500 -14.00000 -13.20664 -13.81478 -0.04568 450.00000 440.49055 371.84000
732761.16667 -17.00000 -14.97803 -14.86599 0.61648 458.00000 452.81127 364.88000
732761.20833 -20.00000 -12.99363 -15.11216 1.98357 474.00000 452.40903 360.44000
732761.25000 -21.00000 -13.29152 -15.48565 2.12383 490.00000 452.93347 354.32000
732761.29167 -18.00000 -12.58875 -14.57560 3.56000 514.00000 472.74850 354.68000
732761.33333 -20.00000 -13.54609 -13.20115 5.57214 498.00000 491.41270 364.72000
732761.37500 -18.00000 -14.91483 -13.35182 7.20381 483.00000 496.45638 376.24000
732761.41667 -18.00000 -12.10921 -15.63579 8.45442 489.00000 493.18443 382.00000
