# time dst_kyoto dst_l1 dst_stb dst_pers v_l1 v_stb v_pers
733621.00000 2.00000 0.22549 7.22413 1.41759 390.00000 306.20012 345.44000
733621.04167 3.00000 0.62662 7.49819 1.40459 383.00000 303.43121 345.04000
733621.08333 2.00000 0.71640 5.58982 3.11588 376.00000 293.03730 346.52000
733621.12500 -2.00000 -1.36578 5.11341 1.76428 371.00000 290.93583 345.44000
733621.16667 -7.00000 -2.41555 5.84692 1.13398 369.00000 293.25328 340.88000
733621.20833 -7.00000 -2.21225 6.90266 2.01898 375.00000 296.07550 340.08000
733621.25000 -7.00000 -2.54396 5.90382 2.81522 368.00000 295.76610 339.40000
733621.29167 -7.00000 -2.64103 5.97579 1.90009 361.00000 296.28319 334.40000
733621.33333 -5.00000 -2.47255 5.76875 -1.32984 359.00000 294.99320 330.96000
733621.37500 -7.00000 -2.63106 3.42202 -1.18351 358.00000 293.16888 326.88000
733621.41667 -7.00000 -2.82601 2.88866 0.88625 357.00000 289.50472 322.44000
733621.45833 -5.00000 -1.10038 3.45410 0.28596 350.00000 290.68429 323.60000
733621.50000 -4.00000 0.20850 3.44852 -0.05265 350.00000 288.21562 329.12000
733621.54167 0.00000 0.74957 6.45316 -0.04227 341.00000 292.53649 330.96000
733621.58333 1.00000 -1.27381 6.22404 -0.07850 346.00000 291.81036 327.92000
733621.62500 -1.00000 -2.30843 6.42962 0.20297 350.00000 293.23396 324.44000
733621.66667 -3.00000 -1.63615 8.19961 0.59447 354.00000 295.89407 320.92000
733621.70833 -7.00000 0.28293 9.19416 0.83718 360.00000 298.11956 318.48000
733621.75000 -5.00000 2.77982 9.55869 0.47527 367.00000 299.00000 319.04000
733621.79167 0.00000 5.80953 9.14715 -1.60493 356.00000 299.00000 320.00000
733621.83333 6.00000 6.41374 8.02145 -2.24070 349.00000 297.78400 319.48000
733621.87500 7.00000 6.33945 6.98576 -1.16363 369.00000 296.75918 320.04000
733621.91667 4.00000 4.84170 5.47450 -2.30084 368.00000 296.92222 326.20000
733621.95833 -1.00000 6.75854 8.23662 -3.80589 365.00000 305.52609 346.60000
733622.00000 0.00000 8.36314 11.26473 -4.47175 366.00000 320.09142 372.96000
733622.04167 -3.00000 3.86429 11.29285 -4.19293 371.00000 326.88495 388.68000
733622.08333 -5.00000 1.04533 10.77646 -4.01843 370.00000 325.34645 388.84000
733622.12500 -4.00000 -0.60746 9.31734 -3.88862 368.00000 334.84910 386.56000
733622.16667 -7.00000 -0.69314 4.64999 -4.63149 375.00000 348.77260 381.76000
733622.20833 -12.00000 -3.35655 -6.26772 -6.32793 385.00000 358.27171 370.28000
733622.25000 -15.00000 -3.34455 -9.60363 -7.99062 394.00000 355.24963 365.52000
733622.29167 -16.00000 -5.96759 -8.00795 -7.42414 381.00000 376.93092 360.28000
733622.33333 -18.00000 -6.20298 -4.34601 -5.79764 380.00000 400.64270 346.68000
733622.37500 -17.00000 -6.75230 -1.43769 -4.53205 376.00000 367.31291 336.92000
733622.41667 -18.00000 -6.91955 2.63026 -3.72515 377.00000 374.18542 335.52000
733622.45833 -16.00000 -5.89910 9.30218 -1.92744 372.00000 384.76620 334.96000
733622.50000 -13.00000 -5.36242 14.03025 -0.48856 367.00000 398.11499 334.52000
733622.54167 -9.00000 -5.39432 16.68035 0.82513 364.00000 411.00496 331.88000
733622.91667 -6.00000 -4.69770 -15.87251 2.40645 364.00000 347.68540 336.92000
733622.95833 -5.00000 -3.44798 -14.07409 1.60802 371.00000 341.73679 335.00000
733623.00000 -5.00000 -3.38133 -8.38366 1.01950 380.00000 351.31036 333.44000
733623.04167 -7.00000 -0.55503 -8.45299 0.13630 375.00000 359.74739 333.04000
733623.08333 -8.00000 -1.49374 -18.08305 -0.78760 372.00000 361.36842 335.04000
