Rot.No.	 yy  	mm    day   	  Date    	Julian date
   -10  	1853 	 1  13.9916 	1853.03559	2397867.49162
    -9  	1853 	 2  11.0417 	1853.11244	2397867.49162
    -8  	1853 	 3   9.6642 	1853.18538	2397922.16421
    -7  	1853 	 4   5.9620 	1853.26017	2397949.46204
    -6  	1853 	 5   4.0417 	1853.33710	2397949.46204
    -5  	1853 	 5  31.0417 	1853.41107	2397949.46204
    -4  	1853 	 6  26.6293 	1853.48392	2398031.12927
    -3  	1853 	 7  23.8332 	1853.55845	2398058.33322
    -2  	1853 	 8  21.0417 	1853.63573	2398058.33322
    -1  	1853 	 9  17.0417 	1853.70970	2398058.33322
     0  	1853 	10  13.6016 	1853.78247	2398140.10155
     1  	1853 	11   9.9019 	1853.85727	2398167.40193
     2  	1853 	12   7.2165 	1853.93210	2398194.71646
     3  	1854 	 1   3.5447 	1854.00697	2398222.04465
     4  	1854 	 1  30.8853 	1854.08188	2398249.38528
     5  	1854 	 2  27.2231 	1854.15678	2398276.72306
     6  	1854 	 3  26.5360 	1854.23161	2398304.03601
     7  	1854 	 4  22.8073 	1854.30632	2398331.30729
     8  	1854 	 5  20.0362 	1854.38092	2398358.53619
     9  	1854 	 6  16.2383 	1854.45545	2398385.73834
    10  	1854 	 7  13.4374 	1854.52997	2398412.93740
    11  	1854 	 8   9.6545 	1854.60453	2398440.15454
    12  	1854 	 9   5.9006 	1854.67918	2398467.40059
    13  	1854 	10   3.1744 	1854.75390	2398494.67443
    14  	1854 	10  30.4685 	1854.82868	2398521.96852
    15  	1854 	11  26.7774 	1854.90350	2398549.27736
    16  	1854 	12  24.1007 	1854.97836	2398576.60066
    17  	1855 	 1  20.4367 	1855.05325	2398603.93670
    18  	1855 	 2  16.7780 	1855.12816	2398631.27799
    19  	1855 	 3  16.1033 	1855.20302	2398658.60332
    20  	1855 	 4  12.3921 	1855.27779	2398685.89212
    21  	1855 	 5   9.6366 	1855.35243	2398713.13663
    22  	1855 	 6   5.8467 	1855.42698	2398740.34672
    23  	1855 	 7   3.0441 	1855.50149	2398767.54414
    24  	1855 	 7  30.2522 	1855.57603	2398794.75220
    25  	1855 	 8  26.4864 	1855.65065	2398821.98639
    26  	1855 	 9  22.7500 	1855.72534	2398849.25002
    27  	1855 	10  20.0371 	1855.80010	2398876.53706
    28  	1855 	11  16.3404 	1855.87491	2398903.84041
    29  	1855 	12  13.6580 	1855.94975	2398931.15795
    30  	1856 	 1   9.9892 	1856.02456	2398958.48918
    31  	1856 	 2   6.3309 	1856.09926	2398985.83087
    32  	1856 	 3   4.6653 	1856.17395	2399013.16531
    33  	1856 	 3  31.9703 	1856.24855	2399040.47034
    34  	1856 	 4  28.2320 	1856.32304	2399067.73196
    35  	1856 	 5  25.4533 	1856.39741	2399094.95332
    36  	1856 	 6  21.6527 	1856.47173	2399122.15269
    37  	1856 	 7  18.8541 	1856.54605	2399149.35404
    38  	1856 	 8  15.0768 	1856.62043	2399176.57683
    39  	1856 	 9  11.3292 	1856.69489	2399203.82925
    40  	1856 	10   8.6081 	1856.76942	2399231.10808
    41  	1856 	11   4.9056 	1856.84400	2399258.40564
    42  	1856 	12   2.2176 	1856.91863	2399285.71756
    43  	1856 	12  29.5442 	1856.99329	2399313.04418
    44  	1857 	 1  25.8825 	1857.06817	2399340.38247
    45  	1857 	 2  22.2223 	1857.14307	2399367.72229
    46  	1857 	 3  21.5412 	1857.21792	2399395.04122
    47  	1857 	 4  17.8204 	1857.29266	2399422.32043
    48  	1857 	 5  15.0561 	1857.36728	2399449.55605
    49  	1857 	 6  11.2613 	1857.44181	2399476.76131
    50  	1857 	 7   8.4592 	1857.51633	2399503.95922
    51  	1857 	 8   4.6721 	1857.59088	2399531.17209
    52  	1857 	 8  31.9129 	1857.66551	2399558.41292
    53  	1857 	 9  28.1824 	1857.74023	2399585.68240
    54  	1857 	10  25.4735 	1857.81500	2399612.97351
    55  	1857 	11  21.7799 	1857.88981	2399640.27992
    56  	1857 	12  19.1006 	1857.96466	2399667.60057
    57  	1858 	 1  15.4345 	1858.03955	2399694.93449
    58  	1858 	 2  11.7762 	1858.11446	2399722.27618
    59  	1858 	 3  11.1059 	1858.18933	2399749.60586
    60  	1858 	 4   7.4020 	1858.26412	2399776.90200
    61  	1858 	 5   4.6540 	1858.33878	2399804.15398
    62  	1858 	 5  31.8688 	1858.41334	2399804.15398
    63  	1858 	 6  28.0667 	1858.48785	2399858.56670
